Timestamp,How many Collectors do you run in your organization?,Where do you deploy your Collectors?,What deployment scenarios do you use your Collectors in?,How do you deploy the OTel Collector on Kubernetes??,Do you build your own Collector distribution?,Do you use the OTel Collector Builder to build your own OTel Collector distribution?,How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,How do you monitor your Collector?,Which of the following Exporters do you use?,Which of the following receivers from do you use?,Which of the following processors do you use?,Which of the following connectors do you use?,Which of the following extensions do you use?,What kind of improvement would you most like to see for the Collector?
2-1-2024 9:34:27,More than 10,"Kubernetes, Virtual Machine (VM), Docker","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"fileexporter, lokiexporter, otlpexporter, signalfxexporter, splunkhecexporter","dockerstatsreceiver, filelogreceiver, filereceiver, filestatsreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, lokireceiver, mongodbreceiver, mysqlreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, snmpreceiver, splunkhecreceiver, syslogreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor, spanmetricsprocessor, spanprocessor","servicegraphconnector, spanmetricsconnector",opampextension,Collector observability
2-1-2024 10:04:36,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,Meh,Collector metrics,otlpexporter,"awscloudwatchmetricsreceiver, filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, transformprocessor",none,"basicauthextension, headerssetterextension, healthcheckextension, opampextension",Configuration management and resolution
2-1-2024 10:12:22,1,Kubernetes,In a stateful scenario (ie k8s statefulset),OTel Operator,No,No,I don't use it,"Logs, Collector metrics","instanaexporter, otlpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver",batchprocessor,"servicegraphconnector, spanmetricsconnector",healthcheckextension,Stability
2-1-2024 10:35:02,More than 10,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"otlpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, metricsgenerationprocessor","servicegraphconnector, spanmetricsconnector",None,Support for more receivers or exporters
2-1-2024 10:57:01,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"loadbalancingexporter, zipkinexporter","otlpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, redactionprocessor, resourcedetectionprocessor, spanprocessor, transformprocessor","servicegraphconnector, spanmetricsconnector",pprofextension,Configuration management and resolution
2-1-2024 10:57:08,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Logs,"kafkaexporter, splunkhecexporter","filelogreceiver, filereceiver",transformprocessor,exceptionsconnector,httpforwarder,Collector observability
2-1-2024 11:11:15,Between 5 and 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,No,No,I don't use it,"I don't, Logs, Collector metrics","kafkaexporter, lokiexporter, otlpexporter, prometheusexporter","carbonreceiver, dockerstatsreceiver, filelogreceiver, fluentforwardreceiver, hostmetricsreceiver, httpcheckreceiver, influxdbreceiver, kafkareceiver, kubeletstatsreceiver, lokireceiver, otlpreceiver, postgresqlreceiver, sqlqueryreceiver, syslogreceiver","attributesprocessor, batchprocessor, filterprocessor","countconnector, routingconnector, servicegraphconnector, spanmetricsconnector",encoding,Stability
2-1-2024 11:53:52,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,Yes,No,It's easy to use. I love it!,"Logs, Collector metrics","kafkaexporter, sapmexporter, signalfxexporter, splunkhecexporter","awscloudwatchreceiver, jmxreceiver, kafkareceiver, otlpreceiver, sapmreceiver, signalfxreceiver, splunkhecreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, spanmetricsprocessor","servicegraphconnector, spanmetricsconnector","encoding, healthcheckextension, httpforwarder",Collector observability
2-1-2024 12:13:02,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,No,No,I don't use it,"Logs, Collector metrics",otlphttpexporter,"jaegerreceiver, memcachedreceiver","batchprocessor, tailsamplingprocessor",spanmetricsconnector,healthcheckextension,Stability
2-1-2024 13:24:02,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",My own manifests,Yes,No,Meh,"Logs, Collector metrics","googlecloudexporter, googlecloudpubsubexporter, googlemanagedprometheusexporter, Custom Elastic and DataDog exporter","dockerstatsreceiver, elasticsearchreceiver, filereceiver, googlecloudpubsubreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, postgresqlreceiver, rabbitmqreceiver, syslogreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, Custom processors ",routingconnector,bearertokenauthextension,Collector observability
2-1-2024 13:24:26,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",Custom Helm chart,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","datadogexporter, elasticsearchexporter, googlecloudexporter, googlecloudpubsubexporter, otlpexporter, otlphttpexporter","apachereceiver, carbonreceiver, dockerstatsreceiver, elasticsearchreceiver, filelogreceiver, googlecloudpubsubreceiver, haproxyreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, logstransformprocessor, memorylimiterprocessor, probabilisticsamplerprocessor",None,"bearertokenauthextension, storage",Configuration management and resolution
2-1-2024 13:25:27,More than 10,Docker Swarm,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"I don't, Tried, but didn't work.",otlpexporter,"otlpreceiver, prometheusreceiver, redisreceiver, However, I think only the OTLP receiver is actually working.","attributesprocessor, batchprocessor, memorylimiterprocessor",None,"healthcheckextension, zpages",Collector observability
2-1-2024 14:41:01,1,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,Yes,It's easy to use. I love it!,Collector metrics,"alertmanagerexporter, awscloudwatchlogsexporter, awss3exporter, clickhouseexporter, kafkaexporter, lokiexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter","fluentforwardreceiver, jaegerreceiver, kafkareceiver, lokireceiver, mysqlreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, rabbitmqreceiver","attributesprocessor, batchprocessor, deltatorateprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, spanprocessor, tailsamplingprocessor","exceptionsconnector, failoverconnector, spanmetricsconnector","filestorage, pprofextension, storage",Configuration management and resolution
2-1-2024 14:47:26,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal",As a gateway (i.e. k8s deployment),My own manifests,Yes,No,I don't use it,Collector metrics,"loadbalancingexporter, otlpexporter, otlphttpexporter, prometheusexporter","hostmetricsreceiver, otlpreceiver","filterprocessor, metricstransformprocessor, tailsamplingprocessor",spanmetricsconnector,"basicauthextension, bearertokenauthextension, filestorage",Collector observability
2-1-2024 19:14:36,Between 2 and 5,AWS ECS Fargate,As a gateway (i.e. k8s deployment),I don't deploy the OTel Collector on Kubernetes,Yes,Yes,Meh,"Logs, Collector metrics","awss3exporter, otlpexporter","awsecscontainermetricsreceiver, awsxrayreceiver, osqueryreceiver, otlpreceiver, rabbitmqreceiver","attributesprocessor, batchprocessor, resourcedetectionprocessor, resourceprocessor, tailsamplingprocessor",N/A,"bearertokenauthextension, oauth2clientauthextension",Configuration management and resolution
2-1-2024 20:58:25,More than 10,"Kubernetes, Virtual Machine (VM)",next to my application (i.e. k8s sidecar),My own manifests,No,No,I don't use it,I don't,"azuremonitorexporter, otlpexporter, prometheusremotewriteexporter","hostmetricsreceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, resourcedetectionprocessor",I don't use it,"healthcheckextension, oauth2clientauthextension",Stability
2-1-2024 23:34:44,Between 2 and 5,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,"Logs, Collector metrics","loggingexporter, otlpexporter, otlphttpexporter, splunkhecexporter",solacereceiver,"attributesprocessor, batchprocessor, filterprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor","servicegraphconnector, spanmetricsconnector","basicauthextension, bearertokenauthextension",Configuration management and resolution
2-2-2024 0:52:59,I don't know,Kubernetes,"next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"otlpexporter, prometheusexporter","jaegerreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor",spanmetricsconnector,zpages,Configuration management and resolution
2-2-2024 1:48:02,Between 2 and 5,ECS Fargate,"As a gateway (i.e. k8s deployment), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"Logs, Collector metrics","loadbalancingexporter, otlpexporter, otlphttpexporter, prometheusremotewriteexporter",otlpreceiver,"attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourceprocessor, servicegraphprocessor, spanmetricsprocessor, tailsamplingprocessor",spanmetricsconnector,"basicauthextension, healthcheckextension, sigv4authextension, zpages",Live updates on configuration changes. E.g t odynamiclaly updating sampling
2-2-2024 8:06:27,1,Windows ,I don't deploy any Collectors to Kubernetes,NA,No,No,I don't use it,Elastic search ,"elasticsearchexporter, prometheusexporter",elasticsearchreceiver,filterprocessor,routingconnector,NA,Collector observability
2-2-2024 9:38:38,1,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,Yes,It's too hard to use!,Collector metrics,"prometheusexporter, prometheusremotewriteexporter",prometheusreceiver,k8sattributesprocessor,"spanmetricsconnector, ",jaegerremotesampling,Collector observability
2-2-2024 13:40:14,Between 2 and 5,Kubernetes,"next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,Yes,Meh,Collector metrics,"alertmanagerexporter, awscloudwatchlogsexporter, carbonexporter, kafkaexporter","apachereceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, redactionprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor","countconnector, spanmetricsconnector","asapauthextension, encoding, filestorage",Configuration management and resolution
2-2-2024 14:12:18,More than 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","loggingexporter, otlpexporter, otlphttpexporter, prometheusexporter, coralogix","filelogreceiver, hostmetricsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor, spanprocessor",spanmetricsconnector,"filestorage, healthcheckextension, pprofextension, storage",better integration with opentelemetry operator
2-2-2024 17:36:07,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), In a stateful scenario (ie k8s statefulset)",OTel Operator,No,No,I don't use it,"Logs, Collector metrics","alertmanagerexporter, azuremonitorexporter, instanaexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","otlpjsonfilereceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, routingprocessor, spanmetricsprocessor, spanprocessor",spanmetricsconnector,"healthcheckextension, pprofextension, zpages",Configuration management and resolution
2-3-2024 12:33:53,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,"OpAMP, Bindplane","debugexporter, kafkaexporter, otlpexporter, otlphttpexporter","dockerstatsreceiver, hostmetricsreceiver, kafkareceiver, kubeletstatsreceiver, We have custom receivers","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor",servicegraphconnector,"basicauthextension, bearertokenauthextension, zpages",Configuration management and resolution
2-3-2024 12:46:16,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,Collector metrics,"otlpexporter, otlphttpexporter","apachereceiver, collectdreceiver, dockerstatsreceiver, filelogreceiver, haproxyreceiver, hostmetricsreceiver, jmxreceiver, journaldreceiver, mysqlreceiver, nginxreceiver, oracledbreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, metricstransformprocessor, resourcedetectionprocessor, resourceprocessor",failoverconnector,"basicauthextension, headerssetterextension, healthcheckextension, observer",Stability
2-4-2024 1:06:29,Between 5 and 10,"Kubernetes, Bare Metal","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",My own manifests,No,No,Meh,Collector metrics,"debugexporter, elasticsearchexporter, fileexporter, otlpexporter, otlphttpexporter","filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkareceiver, prometheusreceiver, webhookeventreceiver","batchprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, logstransformprocessor, resourceprocessor, spanmetricsprocessor, tailsamplingprocessor","countconnector, spanmetricsconnector","httpforwarder, oauth2clientauthextension, zpages",Support for more receivers or exporters
2-5-2024 15:12:23,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",ArgoCD,No,No,I don't use it,"Logs, Collector metrics","debugexporter, otlpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, routingprocessor",None yet,"basicauthextension, healthcheckextension, zpages, memory_ballast",Collector observability
2-5-2024 15:48:59,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics, Trace","awskinesisexporter, awss3exporter, clickhouseexporter, loggingexporter, otlpexporter, prometheusremotewriteexporter","k8sobjectsreceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbytraceprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, routingprocessor, spanmetricsprocessor",routingconnector,healthcheckextension,Collector observability
2-5-2024 16:05:58,Between 2 and 5,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,I don't,"azuredataexplorerexporter, azuremonitorexporter, debugexporter, fileexporter, loggingexporter, lokiexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter","azureblobreceiver, azureeventhubreceiver, azuremonitorreceiver, filelogreceiver, filereceiver, filestatsreceiver, gitproviderreceiver, haproxyreceiver, hostmetricsreceiver, httpcheckreceiver, lokireceiver, nginxreceiver, oracledbreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, redisreceiver, sqlqueryreceiver, sqlserverreceiver, sshcheckreceiver, syslogreceiver, webhookeventreceiver, windowseventlogreceiver, windowsperfcountersreceiver","attributesprocessor, batchprocessor, filterprocessor, logstransformprocessor, metricstransformprocessor",spanmetricsconnector,"bearertokenauthextension, httpforwarder, oauth2clientauthextension",Stability
2-5-2024 16:54:23,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,I don't use it,"Logs, Collector metrics","azuremonitorexporter, fileexporter, otlpexporter","azuremonitorreceiver, filelogreceiver, prometheusreceiver","batchprocessor, filterprocessor, memorylimiterprocessor",countconnector,"healthcheckextension, zpages",Stability
2-5-2024 20:29:30,More than 10,Kubernetes,On every host (i.e k8s daemonset),OTel Operator,No,No,I don't use it,I don't,"lokiexporter, otlpexporter",filereceiver,"k8sattributesprocessor, resourcedetectionprocessor, resourceprocessor, transformprocessor",n/a,n/a,Support for more receivers or exporters
2-6-2024 3:29:46,1,Kubernetes,On every host (i.e k8s daemonset),OTel Operator,No,No,Meh,Collector metrics,otlpexporter,filelogreceiver,attributesprocessor,"countconnector, routingconnector","filestorage, storage",Stability
2-6-2024 3:32:23,Between 5 and 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"I don't, Collector metrics","debugexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","apachereceiver, filelogreceiver, hostmetricsreceiver, httpcheckreceiver, jaegerreceiver, journaldreceiver, nginxreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, sshcheckreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor, transformprocessor",none,"filestorage, healthcheckextension",Configuration management and resolution
2-6-2024 4:27:46,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,It's too hard to use!,"Logs, Collector metrics","clickhouseexporter, kafkaexporter","kafkareceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor",n/a,n/a,Stability
2-6-2024 5:19:20,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Logs,otlphttpexporter,otlpreceiver,"attributesprocessor, batchprocessor, k8sattributesprocessor, probabilisticsamplerprocessor",None,healthcheckextension,Configuration management and resolution
2-6-2024 6:42:42,More than 10,"Kubernetes, AWS lambda layer",next to my application (i.e. k8s sidecar),AWS lambda layer,No,No,I don't use it,I don't,"awsemfexporter, awsxrayexporter, otlpexporter, otlphttpexporter, prometheusexporter",otlpreceiver,batchprocessor,countconnector,awsproxy,Stability
2-6-2024 7:22:19,Between 5 and 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",My own manifests,Yes,Yes,Meh,"I don't, Logs","debugexporter, kafkaexporter, otlpexporter, zipkinexporter","otlpjsonfilereceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor","countconnector, spanmetricsconnector",none,"easier to deploy, probably not written in Go."
2-6-2024 7:32:35,More than 10,Lambda,"next to my application (i.e. k8s sidecar), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Logs,"awsemfexporter, awsxrayexporter",otlpreceiver,None,None,None,Stability
2-6-2024 8:12:02,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,My own manifests,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","alertmanagerexporter, opensearchexporter, otlpexporter, otlphttpexporter, prometheusexporter, syslogexporter, zipkinexporter","jaegerreceiver, zipkinreceiver, zookeeperreceiver","attributesprocessor, batchprocessor, filterprocessor, metricstransformprocessor, transformprocessor","countconnector, exceptionsconnector, failoverconnector, routingconnector, spanmetricsconnector","bearertokenauthextension, encoding","A part from stability and observability it would be great if there is some kind of hot reload for the Collector configuration. This would be essential for the usecases where the Collector doesn't run in Kubernetes and the configuration cannot be reloaded without notable downtime which causes telemetry data loss. It would always be good if the work on OpAMP its usage and the Supervisor intensivies, so that in the near future we have a tool for managing a fleet of Collectors."
2-6-2024 8:38:24,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics, Blackbox probes, kube-state-metrics","coralogixexporter, otlpexporter, otlphttpexporter","k8seventsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, resourcedetectionprocessor, resourceprocessor",NA,"healthcheckextension, memory_ballast",Configuration management and resolution
2-6-2024 12:22:31,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,No,No,It's too hard to use!,I don't,"dynatraceexporter, otlpexporter, otlphttpexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","batchprocessor, filterprocessor, memorylimiterprocessor, tailsamplingprocessor",spanmetricsconnector,"healthcheckextension, ",Collector observability
2-6-2024 13:39:27,1,AWS Fargate via Terraform,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"Logs, Collector metrics",otlpexporter,"kafkametricsreceiver, prometheusreceiver",batchprocessor,"servicegraphconnector, N/A - was not familiar with a connector, perhaps behind on version or need to revisit configs",None at this time,Configuration management and resolution
2-6-2024 14:07:51,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",Other Helm Chart (e.g. vendor's),Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","otlphttpexporter, prometheusexporter, zipkinexporter","prometheusreceiver, sqlserverreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor","routingconnector, servicegraphconnector","basicauthextension, observer, opampextension, zpages",Configuration management and resolution
2-6-2024 14:19:53,More than 10,"Virtual Machine (VM), HashiCorp Nomad",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,Collector metrics,"otlpexporter, prometheusremotewriteexporter","hostmetricsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, metricstransformprocessor, resourcedetectionprocessor, resourceprocessor","Didn't know about connectors, plan on trying the routing connector or processor now.","healthcheckextension, pprofextension, zpages",Ability to use collector in multi-target pattern for BlackboxExporter.  It's the only time we still have to run Prometheus
2-6-2024 14:32:18,Between 2 and 5,AWS Fargate,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"Logs, Collector metrics","otlpexporter, otlphttpexporter",otlpreceiver,"batchprocessor, memorylimiterprocessor",spanmetricsconnector,None,Stability
2-6-2024 15:25:38,More than 10,"Kubernetes, Virtual Machine (VM), ECS (EC2/Fargate)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset)",OTel Operator,Yes,No,I don't use it,Collector metrics,"awscloudwatchlogsexporter, awsemfexporter, awsxrayexporter, debugexporter, fileexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver, statsdreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, deltatorateprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor, tailsamplingprocessor",spanmetricsconnector,"healthcheckextension, sigv4authextension",Support for more receivers or exporters
2-6-2024 17:10:45,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","lokiexporter, prometheusexporter, prometheusremotewriteexporter","filelogreceiver, journaldreceiver, lokireceiver, prometheusreceiver, syslogreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, resourceprocessor, routingprocessor, spanprocessor, tailsamplingprocessor",N/A,"filestorage, healthcheckextension, storage",Stability
2-6-2024 17:26:35,Between 2 and 5,"Kubernetes, Google Cloud Run","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",Other Helm Chart (e.g. vendor's),Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","clickhouseexporter, fileexporter, googlecloudexporter, googlecloudpubsubexporter, googlemanagedprometheusexporter, otlpexporter, otlphttpexporter, prometheusexporter, prometheusremotewriteexporter, splunkhecexporter, zipkinexporter","filelogreceiver, filereceiver, filestatsreceiver, googlecloudpubsubreceiver, googlecloudspannerreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, opencensusreceiver, otlpreceiver, prometheusreceiver, sqlqueryreceiver, syslogreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, routingprocessor, spanmetricsprocessor, transformprocessor","servicegraphconnector, spanmetricsconnector","healthcheckextension, oidcauthextension, pprofextension, zpages",Support for more receivers or exporters
2-6-2024 21:26:13,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","clickhouseexporter, debugexporter, elasticsearchexporter, kafkaexporter","kafkareceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, resourceprocessor, spanmetricsprocessor",none really,healthcheckextension,Collector observability
2-7-2024 13:21:23,More than 10,"Kubernetes, ECS","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,Collector metrics,"datadogexporter, otlphttpexporter, prometheusremotewriteexporter","awscloudwatchreceiver, filelogreceiver, jaegerreceiver, k8sclusterreceiver, k8seventsreceiver, kubeletstatsreceiver, prometheusreceiver, simpleprometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, tailsamplingprocessor",routingconnector,"basicauthextension, headerssetterextension, oauth2clientauthextension, pprofextension",Stability
2-7-2024 14:30:42,Between 2 and 5,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","otlpexporter, otlphttpexporter","kubeletstatsreceiver, otlpreceiver","batchprocessor, filterprocessor, k8sattributesprocessor",none,healthcheckextension,Stability
2-7-2024 17:23:57,1,Kubernetes,next to my application (i.e. k8s sidecar),OTel Collector Helm Chart,No,No,I don't use it,I don't,"debugexporter, loggingexporter, lokiexporter, otlpexporter","lokireceiver, otlpreceiver",batchprocessor,spanmetricsconnector,None,Collector observability
2-7-2024 20:34:27,More than 10,"Kubernetes, Virtual Machine (VM)",next to my application (i.e. k8s sidecar),custom build system that manages k8s config for us,Yes,No,I don't use it,"Logs, Collector metrics","fileexporter, otlpexporter, prometheusexporter","filereceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, memorylimiterprocessor, metricstransformprocessor",none,"bearertokenauthextension, healthcheckextension","more robust configuration, perhaps through processors. e.g. local aggregation, custom grpc servers,"
