Timestamp,How large is your engineering organization or department? ,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,Where did you get your day 1 information on getting started with OpenTelemetry? (Select all that apply),Do you use OpenTelemetry SDK directly or via vendor SDK of the languages you use?,What environments are you using the OpenTelemetry collector? (select all that apply),Which collector distribution do you use? ,What programming languages are you using with OpenTelemtery? (select all that apply),Which platforms are you running OpenTelemety on? (select all that apply),What kind of service do you regularly work on? (select all that apply),How complex was it to manually instrument your application with OpenTelemetry?,Did you encounter any issues when manually instrumenting your application?,How complex was it to get started with OpenTelemetry SDK? (skip if you don't use),Did you encounter any issues when installing OpenTelemetry SDK in your application? (select all that apply),How complex was it to get started with auto-instrumentation? (skip if you don't use),Did you encounter any issues when using auto-instrumentation in your application? (select all that apply),How complex was it to get started operating the OpenTelemetry Collector?,Did you encounter any issues when operating the OpenTelemetry Collector? (select all that apply or skip if you don't use a Collector),"What could be changed to improve the developer experience? For example:
- Installation of the SDK for the first time 
- Debugging instrumentation
- Setting up telemetry pipelines using the Collector
- Getting telemetry out of your application
- Configuring and using resource detectors
- Troubleshooting problems during SDK setup
- Configuring instrumentation
- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/23/2024 16:50:59,0-50,Research,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,Research/online,Custom OpenTelemetry SDK,"We don’t use the OpenTelemetry collector, Local, Test/Staging, Production",No OpenTelemetry collector,"Javascript/Typescript, Python","AWS serverless environments (Lambda, Fargate, etc.)",Backend,3,Documentation was unclear,4,Documentation was unclear,,Documentation was unclear,1 (very easy),,The open source documentation can be improved 
12/23/2024 17:12:15,0-50,other,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Javascript/Typescript, Rust","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), Bare metal","Mobile, Browser, Backend",3,"Documentation was unclear, Configuring logging bridge",4,"Too many steps required, Installing instrumentation libraries and plugins",,Documentation was unclear,1 (very easy),Configuring the extensions,"Why do much contrib packages? Having a well structured lib would lead to a better dev xp.
Also it would be awesome to have examples on how to export telemetry directly to the backend without using a collector (for serverless applications) "
12/23/2024 17:28:44,>1000,Finance,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Python","Kubernetes, VMs","Browser, Backend, Operations/Infrastructure",3,"Configuring logging bridge, Creating distro version was challenging. Have to use other vendor distro to learn how its done to create one. It will be good to have an example in the official repo explaining the internals",3,"Debugging, We Obsevability team provide a distro version of OpenTelemetry agent . Developers simply follow our 3 steps confluence to enable auto instumentation",2,Debugging,3,Using OpenTelemetry Collector Transforming Language (OTTL),Overall the documentation was clear. Initial learning curve was hard as we started the adoption couple of years back. Tackling breaking changes was bit of a challenge.  Configuring extension with distro is still a challenge as there is no clear documentation on this topic. If we have more SIG meetings during APAC timezone it will be more useful.Thanks a ton for all the hardwork and bringing OpenTelemetry to a state that we can confidently use it in production.
12/23/2024 18:14:27,>1000,Finance,SRE,No,Yes,Intermediate - We are setting up an Observability practice,Language implementation documentation page,Custom OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Python","Kubernetes, VMs","Backend, Operations/Infrastructure",2,Configuring resource detectors,2,NA,1,NA,3,"Documentation was unclear, Configuring the processors",We experimented alot on the processors as we were not clear on the expected outcomes from the documentation
12/23/2024 18:19:43,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Javascript/Typescript","Kubernetes, Azure, Azure serverless environments (Functions, Azure Container Apps, etc.)","Browser, Backend, Operations/Infrastructure",4,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API, Using Metrics API, Configuring resource detectors",4,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, Debugging",,Documentation was unclear,4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions, Configuring to export to vendor","Making a more clear path and documentation. Having clear sections with best practices. There are many aspects that you need to put effort into understanding, for example the baggage api or the tracer shim in .net. The explanation is poor. Also the contrib vs core repos make things even more confusing. I understand it's work in progress."
12/23/2024 20:53:31,50-100,other,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, twitter, conference",Vendor OpenTelemetry SDK,Test/Staging,Custom build (ocb),PHP,"GCP serverless environment (Cloud Run Functions, etc.)",Mobile,3,Configuring resource detectors,3,i'm not using,,i'm not using,3,"Configuring the receivers, Configuring the extensions, Configuring to export to vendor",enrich to debug logging and reporting when encountered an issue by otel collector processor setting
12/23/2024 21:00:00,0-50,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,Grafana Alloy,Go,"Kubernetes, GCP","Backend, Operations/Infrastructure",3,"Enriching auto-generated telemetry, Context Propagation",2,Configuring SDK,,N/A,,,More sophisticated sampling like based on particular code paths or KVs
12/23/2024 22:00:57,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging",Grafana Alloy,"Javascript/Typescript, PHP","Kubernetes, Bare metal","Browser, Backend",4,"Documentation was unclear, Enriching auto-generated telemetry",3,"Documentation was unclear, Debugging, Exporting data",5,Installing instrumentation libraries,1 (very easy),Configuring to export to vendor,"No working examples of applications, to run them locally on docker and debug, to understand how it works. "
12/23/2024 23:22:31,50-100,other,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, Vendor documentation",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,"Javascript/Typescript, PHP",AWS,Backend,3,"Documentation was unclear, Enriching auto-generated telemetry",2,"Configuring SDK, Installing instrumentation libraries and plugins, Debugging",1,Disabling specific instrumentation libraries,1 (very easy),Configuring the extensions,Debugging instrumentation 
12/24/2024 0:35:51,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,"Kubernetes, Bare metal","Backend, Operations/Infrastructure",4,Configuring logging bridge,4,Exporting data,,NA,1 (very easy),No issues,clear steps should be given on how to setup production level tracer and logging and metrics
12/24/2024 2:31:14,50-100,Technology,Observability,Yes,No,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Go, Java, Javascript/Typescript, Python, Rust","Kubernetes, Azure, VMs","Browser, Backend, Operations/Infrastructure",3,"Documentation was unclear, Context Propagation, Configuring logging bridge",3,"Documentation was unclear, Installing instrumentation libraries and plugins, Debugging",3,"Documentation was unclear, Too many steps required, Configuring SDK, Installing plugins, Debugging",2,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the extensions",Auto instrumentation should be easy to detect the technology by its own after deploy an agent 
12/24/2024 5:36:20,>1000,Healthcare,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Scala,"Kubernetes, VMs","Backend, Operations/Infrastructure",3,"Documentation was unclear, Enriching auto-generated telemetry, Configuring logging bridge",3,"Documentation was unclear, Too many steps required, Installing instrumentation libraries and plugins",2,Documentation was unclear,2,"Documentation was unclear, Configuring the processors",Make configuration and customization of auto instrumentation easier
12/25/2024 1:47:44,0-50,Advertisement,DevOps,Yes,No,Beginner - Learning about observability / Have used monitoring tools,x,I don’t know,Local,No OpenTelemetry collector,Java,Kubernetes,Backend,2,"Using Tracing API, Using Metrics API, Configuring logging bridge",2,Too many steps required,2,"Debugging, Exporting data",2,No issues,x
12/25/2024 6:50:46,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Javascript/Typescript,"Bare metal, Docker","Browser, Backend",3,"Documentation was unclear, The examples in the docs are too trivial and I don’t think they are quite right, either. (Rolling a die shouldn’t be a separate service, as presented, for example.)",3,"Documentation was unclear, Configuring SDK, The API for the JS SDK has changed a lot, so every documentation source tells you to do it differently, and there’s no clear API docs.",4,Configuring SDK,2,"There’s no baseline configuration docs, just examples you have to emulate and try to figure out commonalities from. The slash convention for naming connectors is not explained, for example. ","The docs need to be more consistent and allow you to get answers to questions like “wait, what is that portion of the config doing?” I also think they could stand to be a bit more opinionated for someone setting this up for the first time (http vs grpc, etc)."
12/25/2024 9:54:13,100-1000,Technology,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Javascript/Typescript, Ruby","Kubernetes, AWS","Backend, Operations/Infrastructure",3,"Documentation was unclear, Configuring logging bridge",4,"Documentation was unclear, Installing instrumentation libraries and plugins, Debugging",3,"Documentation was unclear, Configuring SDK, Debugging",2,"Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)","The documentation is unclear, most of the times is easier to read the collector code than the documentation. Also, debugging is not easy, it’s a tough work"
12/25/2024 21:02:53,0-50,Technology,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging",AWS ADOT,"Python, Rust","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",4,Testing and local development,2,"Configuring SDK, Installing instrumentation libraries and plugins",2,Debugging,3,"Configuring the extensions, Configuring to export to vendor","AWS Lambda turned out to be too difficult to adopt, local development integration so problems are noticed right away"
12/27/2024 15:04:25,0-50,Technology,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector core (otel/opentelemetry-collector),"C++, .NET","VMs, Bare metal",Backend,2,No issues,5,"Installing instrumentation libraries and plugins, Development network is Windows and air-gapped so the C++ implementation was very difficult to build. Any chance for release binaries?",,N/A,2,No issues,Installation of the SDK for the first time: was very difficult to get the C++ implementation built on an air-gapped network.
12/29/2024 8:46:36,100-1000,Technology,Developer,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),".NET, Javascript/Typescript, Rust","Kubernetes, AWS","Backend, Operations/Infrastructure",4,"Documentation was unclear, Context Propagation, I found that the documentation is not super clearly structured. I had some troubles figuring out that some network proxies / infra component are using b3 as context propagation standard, and it was not immediate to understand how to correlate those information to the classic w3c format ",3,"Configuring SDK, Sometimes it's not super clear how one should configure the SDK, but it varies on the language used. I find the .NET clear, for instance. ",,I don't have experiences with auto instrumentation,2,"I still haven't formed a clear understand of connectors, and where they can really help.","I don't find installing and using OTEL related components very difficult. I've sometimes felt a bit lost in the documentation though. One thing that puzzled me initially was the fact that receivers/processors/exporters are split across main and contrib repos, but then I got used to it. "
12/29/2024 21:54:09,0-50,Finance,Developer,No,Yes,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Javascript/Typescript","AWS serverless environments (Lambda, Fargate, etc.)",Backend,2,"Documentation was unclear, Enriching auto-generated telemetry",2,"Documentation was unclear, Debugging",4,Documentation was unclear,5 (very difficult),"Documentation was unclear, Configuring the extensions, Using OpenTelemetry Collector Transforming Language (OTTL)",Debugging instrumentation
12/29/2024 22:32:14,0-50,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, PHP","Kubernetes, Azure","Backend, Operations/Infrastructure",5,"Enriching auto-generated telemetry, Using Tracing API, Using Metrics API",3,Debugging,1,"Debugging, Lack of support for the PHP language",4,"Configuring the processors, Configuring the extensions","I have already passed the threshold of being a beginner, and it is somewhat difficult to recall what challenges I faced at the beginning."
12/29/2024 22:45:40,0-50,Technology,SRE,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub, about observability",Official OpenTelemetry SDK,"Local, Test/Staging, Production",AWS ADOT,Java,"Kubernetes, AWS, Azure",Backend,2,"still beta features, but there are so good",2,Installing instrumentation libraries and plugins,2,Disabling specific instrumentation libraries,2,Configuring the processors,"for provisioning observability infrastructure, like ansible terraform, etc."
12/29/2024 23:22:14,100-1000,Finance,DevOps,Yes,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector-k8s (otel/opentelemetry-collector-k8s),Java,Kubernetes,Backend,5,"Using Tracing API, Using Metrics API",3,Installing instrumentation libraries and plugins,1,Disabling specific instrumentation libraries,5 (very difficult),"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions, Configuring to export to vendor","More explanations on sampling rates and sampling policies,
and how sampling settings can impact performance.

Provide recommendations and guidance for businesses on how to evaluate sampling rates and sampling policies.
"
12/30/2024 3:12:16,>1000,Finance,SRE,Yes,No,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Java,Kubernetes,"Backend, Operations/Infrastructure",3,"Context Propagation, Using Tracing API, Using Metrics API, Configuring logging bridge",3,"Documentation was unclear, Debugging, Exporting data",3,"Documentation was unclear, Debugging, Exporting data",4,"Documentation was unclear, Configuring the processors, Configuring the connectors, Configuring to export to vendor","More complete and detailed documentation.
Ability to view logs or screens of input and final output results"
12/30/2024 7:01:05,>1000,Manufacturing,Developer,No,Yes,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,Official OpenTelemetry SDK,Local,OTel Collector core (otel/opentelemetry-collector),.NET,"VMs, Bare metal",Backend,1,otel collector,1,nothing,5,"Documentation was unclear, Too many steps required, Installing instrumentation libraries, Exporting data",4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the extensions","simpler Collector cofigurations
"
12/31/2024 10:55:43,100-1000,Technology,Observability,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub, Vendor documentation",Official OpenTelemetry SDK,Production,Dynatrace Collector,".NET, Go, Java, Javascript/Typescript, PHP, Python","Kubernetes, VMs","Browser, Backend",5,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API, Using Metrics API, Configuring resource detectors",5,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Documentation was unclear, Configuring SDK, Debugging",4,"Documentation was unclear, Configuring the receivers, Configuring the processors",Auto-instrumentation is too limited and manual instrumentation is too contextual to the application and its classes / methods.
1/1/2025 0:39:38,100-1000,Media,other,No,No,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Custom OpenTelemetry SDK,"Local, Test/Staging",multiple,"C++, Python","AWS, VMs, Bare metal",custom high performance compute for visual effects,4,annoying that the base documentation and libraries are designed for environments where HPC and raw / bare-metal performance are seemingly less important,3,sdk was fine,,not designed for our compute environment / mode of operation,1 (very easy),"capable and no issues, but struggled w/ otel protocol and not available for all environments","otel is a fantastic idea, would like to see it have a more 'basic' / core implementation rather than all the abstraction layers, everywhere, all at once."
1/1/2025 19:30:08,100-1000,Finance,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Test/Staging, Production",Custom build (ocb),"Go, Java","Kubernetes, AWS","Browser, Backend, Operations/Infrastructure",2,Using Metrics API,1,Debugging,1,Debugging,3,"Using OpenTelemetry Collector Transforming Language (OTTL), Bugs, debugging","- Document and standardize the meta-monitoring metrics emitted by application SDKs. For example, RED metrics for an application's OTLP exports 
- More documentation on meta-monitoring the OpenTelemetry collector and its components. For example, common metrics to alert on
- More visibility on unofficial tools that help with generating test data and debugging. There were a few tools I wish I knew about earlier like otel-cli, otel-desktop-viewer, and otelbin.io
- An easier way to test OTTL statements. I eventually learned how to attach a debugger to a locally run OTEL collector so I could step through the OTTL code, but that was a hurdle since I wasn't experienced with golang
- Understanding the implications of cumulative metric temporality (which seems like the default for SDKs) would've been helpful to callout more visibly. I think a lot of engineers are used to thinking in delta temporality, since thats what a lot of vendors accept.
- Guides for tuning collector exporters and the batch processor to handle back-pressure. This feels hard to get right"
1/2/2025 11:24:55,100-1000,Technology,other,No,Yes,Expert - We have a well-established Observability practice,Vendor documentation,Official OpenTelemetry SDK,"Test/Staging, Production",Red Hat Build of OTel Collector,"Java, Python","Kubernetes, AWS, Azure, Bare metal",Backend,3,Documentation was unclear,3,Documentation was unclear,2,Disabling specific instrumentation libraries,2,No issues,More documentation for getting started with.
1/2/2025 11:25:11,0-50,Technology,Developer,No,Yes,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector OTLP Distro (otel/opentelemetry-collector-otlp),"Go, Java, Python, Rust","Kubernetes, AWS",Backend,3,"Documentation was unclear, Library frequently makes sweeping backwards-incompatible changes. Lacks any stability or longevity",3,"Documentation was unclear, Too many steps required",,Don't use - or don't recognise it as something we use,4,"Documentation was unclear, Configuring the receivers","Stop making breaking changes to the libraries every other release. If you insist on having so many different crates for the rust project also just have one crate where we pull things in via features and more example projects. I'm kind of tired of finding a crate I used is now deprecated, moved as a feature into another crate or moved out of a crate into it's own feature.

Also you frequently break the documentation links either by using sealed traits or some sort of semi-private obfuscation method so the docs are near impossible to navigate i.e. getting to builder methods. https://docs.rs/opentelemetry-otlp/0.27.0/opentelemetry_otlp/struct.SpanExporter.html#method.builder take me to the SpanExporterBuilder... oh wait you can't"
1/2/2025 11:43:13,0-50,Technology,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page",Vendor OpenTelemetry SDK,"Local, Test/Staging",OTel Collector core (otel/opentelemetry-collector),.NET,"Kubernetes, Azure, Azure serverless environments (Functions, Azure Container Apps, etc.)",Backend,2,Configuring logging bridge,2,I don't recall,,Did not use,3,Configuring the receivers,It wasn't easy for me to fetch logs in docker compose to the otel collector from output of another service that was only printing them to the output. I managed it finally via some hacks overriding the entrypoint to tee the logs to some file which was eventually in a shared volume with the collector from which the filelog receiver could read. I didn't find much documentation for this case. Overall OTEL works quite nice in the dotnet ecosystem (especially with the newly introduced aspire dashboard)
1/2/2025 12:13:11,100-1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Javascript/Typescript, Python","Kubernetes, AWS, VMs","Backend, Operations/Infrastructure",3,"Enriching auto-generated telemetry, Configuring logging bridge",3,Installing instrumentation libraries and plugins,2,Debugging,3,"Configuring the receivers, Configuring the processors, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)",Production ready K8s collector setup with agents and gateway
1/2/2025 12:13:44,0-50,other,Developer,No,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector-contrib (otel/opentelemetry-collector-contrib),.NET,Azure,"Browser, Backend",3,"Enriching auto-generated telemetry, Context Propagation",2,Configuring SDK,,Documentation was unclear,2,"Configuring the receivers, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)","- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
1/2/2025 12:29:51,>1000,Finance,SRE,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Vendor documentation",Vendor OpenTelemetry SDK,Production,AWS ADOT,"Java, Javascript/Typescript, Python","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Browser, Backend, Operations/Infrastructure",4,"Documentation was unclear, Using Tracing API",3,"Documentation was unclear, Too many steps required, Configuring SDK",2,"Documentation was unclear, Disabling specific instrumentation libraries, Configuring SDK",2,"Configuring the receivers, Configuring the processors, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)","Improvise documentation.. sample complex application based workshop for practicing implementation from basic to advance in different environment like AWS, azure, kubernetes etc. especially using different otel components"
1/2/2025 13:25:16,0-50,Manufacturing,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,Kubernetes,"Browser, Backend",2,Documentation was unclear,2,"Documentation was unclear, Configuring SDK",,N/A,3,"Documentation was unclear, Configuring the processors, Configuring the extensions","Clearer Dos/Donts, best practices to adhere to, clearer naming conventions "
1/2/2025 15:15:11,0-50,other,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),"Go, Java, Javascript/Typescript, Rust","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Mobile, Browser, Backend",2,"Enriching auto-generated telemetry, Configuring logging bridge",2,Installing instrumentation libraries and plugins,,Too many steps required,1 (very easy),No issues,Having more real life examples on how to use/get started withotel
1/2/2025 18:12:10,50-100,Finance,Operations,Yes,Yes,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,Official OpenTelemetry SDK,Production,OTel Collector-k8s (otel/opentelemetry-collector-k8s),Javascript/Typescript,"Azure serverless environments (Functions, Azure Container Apps, etc.)",Mobile,4,Documentation was unclear,4,Configuring SDK,4,Installing plugins,4,Configuring the connectors,"Necesary more spanish, an more esy"
1/2/2025 18:21:26,100-1000,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Twitter",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-k8s (otel/opentelemetry-collector-k8s),".NET, Go","Kubernetes, Azure","Backend, Operations/Infrastructure",2,"Documentation was unclear, Enriching auto-generated telemetry, Using Metrics API",1,N/A,1,Exports way too much data,2,No issues,"Documentation is sometime confusing/wrong (e.g https://opentelemetry.io/docs/languages/net/shim/#creating-independent-spans is completely incorrect)
Lack of guidance when usecases fall out of the very basic ""trace requests"" usecases. Handling of high volume or sampling of data is tricky"
1/2/2025 23:03:41,100-1000,Technology,Developer,Yes,No,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Vendor OpenTelemetry SDK,"Local, Test/Staging",Grafana Alloy,Go,"Kubernetes, AWS, Azure, GCP","Backend, Operations/Infrastructure",5,"Documentation was unclear, Configuring logging bridge",4,Too many steps required,,don't use,4,"Documentation was unclear, Using OpenTelemetry Collector Transforming Language (OTTL)","Too difficult to adopt otel for all signals, and also improve the documentation. "
1/2/2025 23:31:13,>1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"C++, Go, Python, Rust","Kubernetes, VMs","Backend, Operations/Infrastructure",3,"Documentation was unclear, Enriching auto-generated telemetry",3,"Documentation was unclear, Installing instrumentation libraries and plugins",2,Configuring SDK,2,"Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions",Having the languages at same level 
1/3/2025 1:17:33,0-50,other,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,.NET,"Azure serverless environments (Functions, Azure Container Apps, etc.)",Backend,1,Using Metrics API,2,-,1,-,3,No issues,-
1/3/2025 3:09:25,>1000,Retail,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Vendor documentation",Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Javascript/Typescript, PHP",Kubernetes,"Mobile, Backend",2,"Enriching auto-generated telemetry, Using Tracing API, Using Metrics API",3,"Configuring SDK, Debugging",2,"Disabling specific instrumentation libraries, Debugging",2,Using OpenTelemetry Collector Transforming Language (OTTL),"Provide more sample integration recipes: for instance sample code for each language in order to create custom metrics, add attributes to logs and add more informations into traces"
1/3/2025 4:37:34,0-50,Advertisement,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,"GCP serverless environment (Cloud Run Functions, etc.)",Backend,4,"Enriching auto-generated telemetry, Using Metrics API, Configuring resource detectors",4,Exporting data,,did not use auto,4,"Configuring the processors, Configuring the extensions, Configuring to export to vendor","main problem was with otel collector processing and exporting, its a bit confusing, got duplicate datapoint, older datapoint issues a lot"
1/3/2025 5:41:55,100-1000,Travel & Leisure,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Go, Javascript/Typescript","Kubernetes, GCP","Backend, Operations/Infrastructure",2,Enriching auto-generated telemetry,2,Exporting data,1,Debugging,2,No issues,Setting up telemetry pipelines using the Collector
1/3/2025 7:46:31,>1000,Technology,DevOps,Yes,No,Intermediate - We are setting up an Observability practice,GitHub,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),"Go, Java, Python","Kubernetes, AWS, GCP, VMs",Operations/Infrastructure,3,"Documentation was unclear, Context Propagation",3,"Documentation was unclear, Installing instrumentation libraries and plugins",2,Documentation was unclear,3,Configuring the processors,Better documentation for instrumentation and automatic instrumentation and processors would be helpful 
1/3/2025 14:02:39,>1000,Technology,Developer,No,Yes,Beginner - Learning about observability / Have used monitoring tools,GitHub,Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,"Kubernetes, GCP",Backend,2,Configuring logging bridge,2,"Installing instrumentation libraries and plugins, Debugging",2,Debugging,1 (very easy),No issues,Debugging instrumentation
